Dénomination,Voies d'admninistration,Autorisation,,
LEVOFLOXACINE TEVA 500 mg,comprimé pelliculé sécable,orale,,
LEVOFLOXACINE VIATRIS 500 mg,comprimé pelliculé sécable,orale,,
LEVOFLOXACINE ZENTIVA 500 mg,comprimé pelliculé sécable,orale,,
LEVOFLOXACINE ZYDUS 500 mg,comprimé pelliculé sécable,orale,,
LEVOFOLINATE DE CALCIUM ZENTIVA 10 mg/ml,solution injectable,intramusculaire/intraveineuse,,
LEVOFOLINATE DE CALCIUM ZENTIVA 25 mg/2, solution injectable (IM/IV),solution injectable,,
LEVOFOLINATE DE SODIUM MEDAC 50 mg/mL,solution injectable et pour perfusion,intraveineuse,,
LEVOFREE 0, collyre en solution,collyre en solution,,
LEVONORGESTREL BIOGARAN 1, comprimé,comprimé,,
LEVONORGESTREL CRISTERS 1, comprimé,comprimé,,
LEVONORGESTREL EG 1, comprimé,comprimé,,
LEVONORGESTREL VIATRIS 1, comprimé,comprimé,,
LEVONORGESTREL ZENTIVA 1, comprimé,comprimé,,
LEVONORGESTREL/ETHINYLESTRADIOL BIOGARAN 100 microgrammes/20 microgrammes,comprimé pelliculé,orale,,
LEVONORGESTREL/ETHINYLESTRADIOL BIOGARANCONTINU 100 microgrammes/20 microgrammes,comprimé pelliculé et  comprimé pelliculé,orale,,
LEVONORGESTREL/ETHINYLESTRADIOL CRISTERS 100 microgrammes/20 microgrammes,comprimé pelliculé,orale,,
LEVONORGESTREL/ETHINYLESTRADIOL EG 100 microgrammes/20 microgrammes,comprimé enrobé,orale,,
LEVOPHTA 0, collyre,collyre,,
LEVOSOLO 1500 microgrammes,comprimé,orale,,
LEVOTHYROX 100 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 112 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 125 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 137 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 150 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 175 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 200 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 25 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 50 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 75 microgrammes,comprimé sécable,orale,,
LEVOTHYROX 88 microgrammes,comprimé sécable,orale,,
LEVOTONINE,gélule,orale,,
LEVULOSE BIOSEDRA 5 POUR CENT,solution pour perfusion,intraveineuse,,
LEVULOSE HYPERTONIQUE BIOSEDRA 10 POUR CENT,solution pour perfusion,intraveineuse,,
LEVUNIQUE 1,comprimé,orale,,
LEXOMIL 6 mg,comprimé quadrisécable,orale,,
LHRH FERRING 100 microgrammes/1 mL,solution injectable,intraveineuse,,
LIBRAX,comprimé enrobé,orale,,
LIDENE 15 mg,comprimé pelliculé sécable,orale,,
LIDOCAINE AGUETTANT 10 mg/mL,solution injectable,infiltration,,
LIDOCAINE AGUETTANT 10 mg/ml SANS CONSERVATEUR,solution injectable,infiltration/intraarticulaire/intramusculaire/intraveineuse/périarticulaire/péridurale/sous-cutanée,,
LIDOCAINE AGUETTANT 20 mg/mL,solution injectable,infiltration,,
LIDOCAINE AGUETTANT 20 mg/ml SANS CONSERVATEUR,solution injectable,infiltration/intraarticulaire/intramusculaire/intraveineuse/périarticulaire/péridurale/périneurale/sous-cutanée,,
LIDOCAINE AGUETTANT 5 POUR CENT,solution pour pulvérisation,voie buccale autre,,
LIDOCAINE AGUETTANT 5 mg/ml SANS CONSERVATEUR,solution injectable,intraarticulaire/intramusculaire/intraveineuse/périarticulaire/péridurale/périneurale/sous-cutanée,,
LIDOCAINE/PRILOCAINE AGUETTANT 5 %,crème,cutanée,,
LIDOCAINE/PRILOCAINE BIOGARAN 5 %,pansement adhésif(ve),cutanée,,
LIDOCAINE/PRILOCAINE ZENTIVA 5 %,crème,cutanée,,
LIDOCAÏNE 10 mg/ml ADRENALINE 0, solution injectable,solution injectable,,
LIDOCAÏNE 20 mg/ml ADRENALINE 0, solution injectable,solution injectable,,
LIDOCAÏNE ACCORD 10 mg/mL,solution injectable,infiltration/intramusculaire/intraveineuse/péridurale/sous-cutanée,,
LIDOCAÏNE ACCORD 20 mg/mL,solution injectable,infiltration/intramusculaire/intraveineuse/péridurale/sous-cutanée,,
LIDOCAÏNE KABI 10 mg/mL,solution injectable,infiltration/intramusculaire/intraveineuse/péridurale/périneurale/sous-cutanée,,
LIDOCAÏNE KABI 20 mg/ml,solution injectable,infiltration/intramusculaire/intraveineuse/péridurale/périneurale/sous-cutanée,,
LIDOCAÏNE/PRILOCAÏNE TEVA 5 %,crème,cutanée,,
LIDOCAïNE/PRILOCAïNE BIOGARAN 5 %,crème,cutanée,,
LIERRE GRIMPANT BIOGARAN CONSEIL SANS SUCRE,solution buvable,orale,,
LIERRE GRIMPANT EG LABO CONSEIL SANS SUCRE,solution buvable,orale,,
LIERRE GRIMPANT HUMEXPHYTO SANS SUCRE,solution buvable,orale,,
LIERRE GRIMPANT VIATRIS CONSEIL SANS SUCRE,solution buvable,orale,,
LIGAMENT VERTEBRAL BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LIGAMENTS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LIKOZAM 1 mg/ml,suspension buvable,orale,,
LILIUM TIGRINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LINDILANE 400 mg/25 mg,comprimé,orale,,
LIORESAL 10 mg,comprimé sécable,orale,,
LIPANOR 100 mg,gélule,orale,,
LIPANTHYL 145 mg,comprimé pelliculé,orale,,
LIPANTHYL 160 mg,comprimé pelliculé,orale,,
LIPANTHYL 200 micronisé,gélule,orale,,
LIPANTHYL 67 Micronisé,gélule,orale,,
LIPIDEM 200 mg/ml,émulsion pour perfusion,intraveineuse,,
LIPIODOL ULTRA-FLUIDE 480 mg/ml,solution injectable,intraartérielle/intralymphatique/intramusculaire,,
LIPOROSA 10 mg/10 mg,gélule,orale,,
LIPOROSA 20 mg/10 mg,gélule,orale,,
LIPOSIC 2 mg/g,gel,ophtalmique,,
LIPPIZA 1 mg,comprimé pelliculé,orale,,
LIPPIZA 2 mg,comprimé pelliculé,orale,,
LIPPIZA 4 mg,comprimé pelliculé,orale,,
LIPTRUZET 10 mg/10 mg,comprimé pelliculé,orale,,
LIPTRUZET 10 mg/20 mg,comprimé pelliculé,orale,,
LIPTRUZET 10 mg/40 mg,comprimé pelliculé,orale,,
LIPTRUZET 10 mg/80 mg,comprimé pelliculé,orale,,
LIPUR 450 mg,comprimé pelliculé,orale,,
LISINOPRIL ARROW 20 mg,comprimé sécable,orale,,
LISINOPRIL BIOGARAN 20 mg,comprimé sécable,orale,,
LISINOPRIL BIOGARAN 5 mg,comprimé sécable,orale,,
LISINOPRIL EG 20 mg,comprimé sécable,orale,,
LISINOPRIL EG 5 mg,comprimé sécable,orale,,
LISINOPRIL TEVA 20 mg,comprimé sécable,orale,,
LISINOPRIL TEVA 5 mg,comprimé sécable,orale,,
LISINOPRIL VIATRIS 20 mg,comprimé sécable,orale,,
LISINOPRIL VIATRIS 5 mg,comprimé sécable,orale,,
LISINOPRIL ZENTIVA 20 mg,comprimé sécable,orale,,
LISINOPRIL/HYDROCHLOROTHIAZIDE ARROW LAB 20 mg/12, comprimé sécable,comprimé sécable,,
LISINOPRIL/HYDROCHLOROTHIAZIDE BIOGARAN 20 mg/12, comprimé sécable,comprimé sécable,,
LISINOPRIL/HYDROCHLOROTHIAZIDE EG 20 mg/12, comprimé sécable,comprimé sécable,,
LISINOPRIL/HYDROCHLOROTHIAZIDE SANDOZ 20 mg/12, comprimé sécable,comprimé sécable,,
LISINOPRIL/HYDROCHLOROTHIAZIDE TEVA 20 mg/12, comprimé sécable,comprimé sécable,,
LISINOPRIL/HYDROCHLOROTHIAZIDE VIATRIS 20mg/12, comprimé sécable,comprimé sécable,,
LISINOPRIL/HYDROCHLOROTHIAZIDE ZENTIVA 20 mg/12, comprimé sécable,comprimé sécable,,
LITHIODERM 8 %,gel,cutanée,,
LITHIUM CARBONICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LITHIUM CARBONICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LITHIUM OLIGOSOL,solution buvable ou,orale/sublinguale,,
LIVIAL 2, comprimé,comprimé,,
LIVOGIVA 20 microgrammesg/80 microlitres,solution injectable,sous-cutanée,,
LOBAMINE CYSTEINE,gélule,orale,,
LOBELIA CARDINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LOBELIA INFLATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LOBELIA INFLATA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LOBELIA INFLATA WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
LOCAPRED 0, crème,crème,,
LOCATOP 0, crème,crème,,
LOCERYL 5 %,vernis à ongles médicamenteux(se),cutanée,,
LOCERYLPRO 5 %,vernis à ongles médicamenteux(se),cutanée,,
LOCOID 0, crème,crème,,
LOCOID,crème épaisse pour application,cutanée,,
LODINE 200 mg,comprimé pelliculé,orale,,
LODINE 300 mg,comprimé pelliculé,orale,,
LODOZ 10 mg/6, comprimé pelliculé,comprimé pelliculé,,
LODOZ 2,25 mg, comprimé pelliculé,,
LODOZ 5 mg/6, comprimé pelliculé,comprimé pelliculé,,
LOGIMAX 5 mg/47, comprimé pelliculé à libération prolongée,comprimé pelliculé à libération prolongée,,
LOGIRENE,comprimé sécable,orale,,
LOJUXTA 20 mg,gélule,orale,,
LOJUXTA 5 mg,gélule,orale,,
LOLISTREL 100 microgrammes/20 microgrammes,comprimé enrobé,orale,,
LOLISTREL CONTINU 100 microgrammes/20 microgrammes,comprimé enrobé et  comprimé enrobé,orale,,
LOMEXIN 2 POUR CENT,crème,cutanée,,
LOMEXIN 600 mg,capsule molle,vaginale,,
LONICERA CAPRIFOLIUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LONOTEN 10 mg,comprimé sécable,orale,,
LONOTEN 5 mg,comprimé sécable,orale,,
LONSURF 15 mg/6, comprimé pelliculé,comprimé pelliculé,,
LONSURF 20 mg/8, comprimé pelliculé,comprimé pelliculé,,
LONVECT,comprimé,orale,,
LOPERAMIDE ALMUS 2 mg,gélule,orale,,
LOPERAMIDE ARROW 2 mg,gélule,orale,,
LOPERAMIDE ARROW CONSEIL 2 mg,gélule,orale,,
LOPERAMIDE ARROW LAB 2 mg,gélule,orale,,
LOPERAMIDE BIOGARAN 2 mg,gélule,orale,,
LOPERAMIDE BIOGARAN CONSEIL 2 mg,gélule,orale,,
LOPERAMIDE EG 2 mg,gélule,orale,,
LOPERAMIDE EVOLUGEN 2 mg,gélule,orale,,
LOPERAMIDE LYOC 2 mg,lyophilisat,orale,,
LOPERAMIDE SANDOZ 2 mg,gélule,orale,,
LOPERAMIDE SANDOZ CONSEIL 2 mg,gélule,orale,,
LOPERAMIDE TEVA 2 mg,comprimé pelliculé,orale,,
LOPERAMIDE TEVA CONSEIL 2 mg,gélule,orale,,
LOPERAMIDE VIATRIS 2 mg,gélule,orale,,
LOPERAMIDE VIATRIS CONSEIL 2 mg,gélule,orale,,
LOPERAMIDE ZENTIVA 2 mg,gélule,orale,,
LOPERAMIDE ZENTIVA CONSEIL 2 mg,gélule,orale,,
LOPERAMIDE ZYDUS 2 mg,gélule,orale,,
LOPERAMIDE ZYDUS FRANCE 2 mg,gélule,orale,,
LOPRESSOR 100 mg,comprimé pelliculé sécable,orale,,
LOPRESSOR L.P. 200 mg,comprimé sécable à libération prolongée,orale,,
LORAMYC 50 mg,comprimé muco-adhésif,gingivale,,
LORATADINE ALMUS 10 mg,comprimé,orale,,
LORATADINE ARROW 10 mg,comprimé,orale,,
LORATADINE ARROW CONSEIL 10 mg,comprimé,orale,,
LORATADINE BIOGARAN 10 mg,comprimé,orale,,
LORATADINE BIOGARAN CONSEIL 10 mg,comprimé,orale,,
LORATADINE CRISTERS 10 mg,comprimé,orale,,
LORATADINE EG 10 mg,comprimé,orale,,
LORATADINE SANDOZ 10 mg,comprimé,orale,,
LORATADINE SANDOZ CONSEIL 10 mg,comprimé,orale,,
LORATADINE TEVA 10 mg,comprimé,orale,,
LORATADINE TEVA CONSEIL 10 mg,comprimé,orale,,
LORATADINE VIATRIS 10 mg,comprimé pelliculé,orale,,
LORATADINE VIATRIS CONSEIL 10 mg,comprimé,orale,,
LORATADINE ZENTIVA 10 mg,comprimé,orale,,
LORATADINE ZF 10 mg,comprimé,orale,,
LORATADINE ZYDUS 10 mg,comprimé,orale,,
LORAZEPAM VIATRIS 1 mg,comprimé pelliculé sécable,orale,,
LORAZEPAM VIATRIS 2, comprimé pelliculé sécable,comprimé pelliculé sécable,,
LORMETAZEPAM ARROW 1 mg,comprimé,orale,,
LORMETAZEPAM ARROW 2 mg,comprimé,orale,,
LORVIQUA 100 mg,comprimé pelliculé,orale,,
LORVIQUA 25 mg,comprimé pelliculé,orale,,
LOSARTAN ACCORD 100 mg,comprimé pelliculé,orale,,
LOSARTAN ACCORD 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN ARROW LAB 100 mg,comprimé pelliculé,orale,,
LOSARTAN ARROW LAB 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN BIOGARAN 100 mg,comprimé pelliculé,orale,,
LOSARTAN BIOGARAN 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN CRISTERS 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN CRISTERS PHARMA 100 mg,comprimé pelliculé,orale,,
LOSARTAN EG 100 mg,comprimé pelliculé,orale,,
LOSARTAN EG 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN KRKA 100 mg,comprimé pelliculé,orale,,
LOSARTAN KRKA 50 mg,comprimé pelliculé,orale,,
LOSARTAN SANDOZ 100 mg,comprimé pelliculé,orale,,
LOSARTAN SANDOZ 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN TEVA 100 mg,comprimé pelliculé sécable,orale,,
LOSARTAN TEVA 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN VIATRIS 100 mg,comprimé pelliculé,orale,,
LOSARTAN VIATRIS 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN ZENTIVA LAB 100 mg,comprimé pelliculé,orale,,
LOSARTAN ZENTIVA LAB 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN ZYDUS 100 mg,comprimé pelliculé,orale,,
LOSARTAN ZYDUS 50 mg,comprimé pelliculé sécable,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE BGR 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE BGR 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 100 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE CRISTERS PHARMA 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE CRISTERS PHARMA 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE EG 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE EG 100/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE EG 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 50 mg/12, comprimé pelliculé sécable,comprimé pelliculé sécable,,
LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 100 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE SANDOZ 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE SANDOZ 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE TEVA 100 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE TEVA 100 mg/25 mg,comprimé pelliculé sécable,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE TEVA 50 mg/12, comprimé pelliculé sécable,comprimé pelliculé sécable,,
LOSARTAN/HYDROCHLOROTHIAZIDE VIATRIS 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE VIATRIS 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE VIATRIS SANTE 100 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE ZENTIVA LAB 100 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE ZENTIVA LAB 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE ZENTIVA LAB 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 100 mg/25 mg,comprimé pelliculé,orale,,
LOSARTAN/HYDROCHLOROTHIAZIDE ZYDUS 50 mg/12, comprimé pelliculé,comprimé pelliculé,,
LOVAVULO 20 microgrammes/100 microgrammes,comprimé pelliculé,orale,,
LOVENOX 10 000 UI (100 mg)/1 ml,solution injectable,intraveineuse/sous-cutanée/voie extracorporelle autre,,
LOVENOX 12 000 UI (120 mg)/0, solution injectable en seringue préremplie,solution injectable,,
LOVENOX 15 000 UI (150 mg)/1 ml,solution injectable,intraveineuse/sous-cutanée/voie extracorporelle autre,,
LOVENOX 2 000 UI (20 mg)/0, solution injectable en seringue préremplie,solution injectable,,
LOVENOX 30 000 UI (300 mg)/3 ml,solution injectable,intraveineuse/sous-cutanée/voie extracorporelle autre,,
LOVENOX 4 000 UI (40 mg)/0, solution injectable en seringue préremplie,solution injectable,,
LOVENOX 6 000 UI (60 mg)/0, solution injectable en seringue préremplie,solution injectable,,
LOVENOX 8 000 UI (80 mg)/0, solution injectable en seringue préremplie,solution injectable,,
LOXAPAC 100 mg,comprimé pelliculé,orale,,
LOXAPAC 25 mg,comprimé pelliculé,orale,,
LOXAPAC 50 mg,comprimé pelliculé,orale,,
LOXAPAC,solution buvable,orale,,
LOXEN 20 mg,comprimé sécable,orale,,
LOXEN LP 50 mg,gélule à libération prolongée,orale,,
LUDEAL 0,03 mg, comprimé enrobé,,
LUDIOMIL 25 mg,comprimé pelliculé,orale,,
LUDIOMIL 75 mg,comprimé pelliculé,orale,,
LUMBALGINE,crème,cutanée,,
LUMIGAN 0, collyre en solution,collyre en solution,,
LUMIRELAX 10 POUR CENT,crème,cutanée,,
LUMIRELAX 500 mg,comprimé,orale,,
LUMYKRAS 120 mg,comprimé pelliculé,orale,,
LUTEINUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LUTEINUM WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
LUTENYL,comprimé sécable,orale,,
LUTRELEF 3, poudre et solvant pour solution injectable,poudre et  solvant pour solution injectable,,
LUVERIS 75 UI,poudre et  solvant pour solution injectable,sous-cutanée,,
LYCOPODIUM CLAVATUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LYCOPODIUM CLAVATUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LYCOPODIUM CLAVATUM WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
LYCOPUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
LYCOPUS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
LYMECYCLINE ARROW 408 mg (équivalent à 300 mg de tétracycline base),gélule,orale,,
LYNPARZA 100 mg,comprimé pelliculé,orale,,
LYNPARZA 150 mg,comprimé pelliculé,orale,,
LYRICA 100 mg,gélule,orale,,
LYRICA 150 mg,gélule,orale,,
LYRICA 20 mg/ml,solution,orale,,
LYRICA 200 mg,gélule,orale,,
LYRICA 25 mg,gélule,orale,,
LYRICA 300 mg,gélule,orale,,
LYRICA 50 mg,gélule,orale,,
LYRICA 75 mg,gélule,orale,,
LYSANXIA 10 mg,comprimé,orale,,
LYSANXIA 15 mg/ml,solution buvable gouttes,orale,,
LYSANXIA 40 mg,comprimé sécable,orale,,
LYSO 6,comprimé,voie buccale autre,,
LYSOPAÏNE MAUX DE GORGE AMBROXOL CITRON 20 mg SANS SUCRE,pastille,voie buccale autre,,
LYSOPAÏNE MAUX DE GORGE AMBROXOL MENTHE 17, solution pour pulvérisation buccale édulcorée au sucralose,solution pour pulvérisation,,
LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME FRAISE SANS SUCRE,comprimé à sucer,voie buccale autre,,
LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME MIEL CITRON SANS SUCRE,comprimé à sucer,voie buccale autre,,
LYSOPAÏNE MAUX DE GORGE CETYLPYRIDINIUM LYSOZYME SANS SUCRE,comprimé à sucer,voie buccale autre,,
LYSORYNX,comprimé à sucer,voie buccale autre,,
LYTOS 520 mg,comprimé pelliculé,orale,,
LYUMJEV 100 unités/mL,solution injectable,sous-cutanée,,
LYUMJEV 200 unités/mL,solution injectable,sous-cutanée,,
M-M-RVAXPRO poudre et solvant pour suspension injectable en seringue préremplie.Vaccin rougeoleux, et rubéoleux (vivant).,poudre et  solvant pour suspension injectable,,
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 400 mg/400 mg SANS SUCRE FRUITS ROUGES, au sorbitol et au maltitol,comprimé à croquer,,
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 400 mg/400 mg SANS SUCRE, au sorbitol et au maltitol,comprimé à croquer,,
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 400 mg/400 mg,comprimé à croquer,orale,,
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 460 mg/400 mg FRUITS ROUGES,suspension buvable,orale,,
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 460 mg/400 mg,suspension buvable,orale,,
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 525 mg/600 mg,suspension buvable,orale,,
MAALOX REFLUX ALGINATE DE SODIUM/BICARBONATE DE SODIUM MENTHE 500 mg/267 mg SANS SUCRE, édulcorée à la saccharine sodique,suspension buvable,,
MABTHERA 1400 mg,solution injectable,sous-cutanée,,
MACROGOL 3350 MAYOLY SPINDLER 8, poudre pour solution buvable en sachet,poudre pour solution buvable,,
MACROGOL 4000 ARROW 10 g,poudre pour solution buvable,orale,,
MACROGOL 4000 ARROW 4 g,poudre pour solution buvable,orale,,
MACROGOL 4000 BIOGARAN 4 g,poudre pour solution buvable,orale,,
MACROGOL 4000 EG 10 g,poudre pour solution buvable,orale,,
MACROGOL 4000 EG 4 g,poudre pour solution buvable,orale,,
MACROGOL 4000 SANDOZ 10 g,poudre pour solution buvable,orale,,
MACROGOL 4000 VIATRIS 10 g,poudre pour solution buvable,orale,,
MACROGOL 4000 ZENTIVA 10 g,poudre pour solution buvable,orale,,
MACROGOL 4000 ZENTIVA 4 g,poudre pour solution buvable,orale,,
MACROGOL BIOGARAN 10 g,poudre pour solution buvable,orale,,
MADECASSOL 1 POUR CENT,crème,cutanée,,
MAG 2 100 mg,comprimé,orale,,
MAG 2 SANS SUCRE 122 mg,solution buvable,orale,,
MAG 2,poudre pour solution buvable,orale,,
MAGINJECTABLE 0, solution injectable,solution injectable,,
MAGNE B6 48 mg/5 mg,comprimé enrobé,orale,,
MAGNESIA BOROCITRICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA CARBONICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA CARBONICA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA CARBONICA WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
MAGNESIA MURIATICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA MURIATICA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA MURIATICA WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
MAGNESIA PHOSPHORICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA PHOSPHORICA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA PHOSPHORICA WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
MAGNESIA SULFURICA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIA SULFURICA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIE SAN PELLEGRINO ANISEE 44, poudre effervescente pour suspension buvable,poudre effervescent(e) pour suspension buvable,,
MAGNESIE SAN PELLEGRINO ANISEE 90 %,poudre pour suspension buvable,orale,,
MAGNESIE SAN PELLEGRINO SANS ANIS 90 %,poudre pour suspension buvable,orale,,
MAGNESITE WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
MAGNESIUM ARROW 150 mg,comprimé effervescent(e),orale,,
MAGNESIUM CHLORURE RENAUDIN 10 % (0, solution injectable (IV) en ampoule,solution injectable,,
MAGNESIUM METALLICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAGNESIUM OLIGOSOL,solution buvable,orale/sublinguale,,
MAGNESIUM/VITAMINE B6 BIOGARAN CONSEIL 48 mg/5 mg,comprimé pelliculé,orale,,
MAGNESIUM/VITAMINE B6 VIATRIS CONSEIL 48 mg/5 mg,comprimé pelliculé,orale,,
MAGNESPASMYL 47, comprimé pelliculé,comprimé pelliculé,,
MAGNEVIE B6 100 mg/10 mg,comprimé pelliculé,orale,,
MAGNOLIA GRANDIFLORA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MAINTELYTE,solution pour perfusion,intraveineuse,,
MALARONE 250 mg/100 mg,comprimé pelliculé,orale,,
MALARONE 62, comprimé pelliculé,comprimé pelliculé,,
MALOCIDE 50 mg,comprimé,orale,,
MALUS COMMUNIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
